Food Code,Food Name,Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Starch (g),Total sugars (g),Glucose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g fd (g),Mono FA /100g food (g),Poly FA /100g food (g),Cholesterol (mg)
18-502,Burger# chicken/turkey# coated# retail# grilled,14.2,15.5,18.7,266,17.7,0.9,0.2,Tr,0.2,0.5,Tr,,1.1,0.8,2.63,7.57,4.48,35.7
19-544,Burger# hamburger# takeaway,13.5,8.3,31.2,246,24.6,6.6,N,N,N,N,N,0,0.8,1.8,3.5,3.6,0.7,34.6
19-487,Burger# Quarter Pounder with cheese# takeaway,16.3,13.2,21.2,263,15.6,5.5,N,N,N,N,N,0,N,1.6,6.8,5.6,0.9,33
19-514,Burger# Whopper# takeaway,10.4,12.1,19.2,223,15,4.2,N,N,N,N,N,0,0.8,1.2,3.3,6.3,2,25
17-685,Butter# salted,0.6,82.2,0.6,744,0,0.6,0,0,0,0,0.6,0,0,0,52.09,20.91,2.83,213.2
17-655,Butter# spreadable (75-80% fat),0.4,79.1,0.5,715,0,0.5,0,0,0,0,0.5,0,0,0,34.15,29.54,10,153
17-656,Butter# spreadable# light (60% fat),0.5,60.2,0.8,547,0,0.8,0,0,0,0,0.8,0,0,0,25.7,22.66,7.75,110.7
17-661,Butter# unsalted,0.6,82.2,0.6,744,0,0.6,0,0,0,0,0.6,0,0,0,52.09,20.91,2.83,213
17-001,Butteroil# unsalted,0.6,99.3,Tr,896,0,Tr,0,0,0,0,Tr,0,0,,65.6,24.1,3.2,280
19-631,Cabbage leaves# stuffed with lamb and rice# homemade,7.1,4.2,8.3,100,6.4,1.6,0.7,0.6,0.3,0,0,,1,1.5,1.8,1.58,0.28,32.9
13-581,Cabbage# average# boiled in unsalted water,1.1,0.2,2.8,17,0,2.8,1.3,1.1,0.3,0,0,,2,2.2,0.02,Tr,0.09,0
13-582,Cabbage# average# raw,1.8,0.2,4.4,26,0,4.4,2.2,1.9,0.3,0,0,0,2.3,3.5,0.02,Tr,0.1,0
13-187,Cabbage# Chinese# raw,1,0.2,1.4,12,Tr,1.4,0.8,0.6,Tr,0,0,,1.2,,Tr,Tr,0.1,0
13-511,Cabbage# green# boiled in unsalted water,1.5,0.2,2.3,17,0,2.3,1,0.9,0.4,0,0,0,2.6,2.2,0.04,Tr,0.13,0
13-510,Cabbage# green# raw,2.4,0.2,4.1,27,0,4.1,2,1.8,0.3,0,0,0,2.7,4.1,0.04,Tr,0.12,0
13-540,Cabbage# red# boiled in unsalted water,0.8,0.3,2.3,15,0.1,2,0.9,0.9,0.2,0,0,,2,2.3,Tr,Tr,0.2,0
15-705,Cabbage# red# cooked with apple,0.9,2.6,7.9,57,0.1,7.5,1.6,2.1,3.9,0,Tr,,2.1,0.1,0.77,1.06,0.54,0.3
13-190,Cabbage# red# raw,1.1,0.3,3.7,21,0.1,3.3,1.5,1.4,0.4,0,0,,2.5,2.9,Tr,Tr,0.2,0
13-584,Cabbage# white# boiled in unsalted water,0.8,0.1,3.2,16,0,3.2,1.6,1.4,0.2,0,0,0,1.4,2.1,Tr,Tr,0.05,0
13-509,Cabbage# white# raw,1.2,0.1,4.8,24,0,4.8,2.4,2.1,0.3,0,0,0,2,3,Tr,Tr,0.08,0
11-740,Cake bars# chocolate,5,21.6,57.5,430,15,41.5,2.1,1,33.3,1.2,4,0,1.6,1.9,9.9,7.91,2.71,29.4
11-916,Cake rusks,8.7,23.1,55.7,452,31.1,24.6,Tr,Tr,23.5,1.1,Tr,0,2.2,1.6,8.08,8.42,4.58,82.8
11-835,Cake# battenberg# retail,4.4,9.9,65.9,354,9.1,56.8,5.1,0.3,46.7,4.7,Tr,0,1.1,1.5,3.08,4.08,2.17,5.9
11-836,Cake# carrot# iced# retail,4.2,20.2,46.8,374,12.3,34.5,Tr,0.8,31.8,1.9,Tr,0,1.1,1.9,5.14,8.19,5.58,53.2
11-1041,Cake# carrot# with topping# homemade,4,21.1,37.7,346,13.9,23.7,1.3,1.2,20.8,0,0.4,,0.9,1.5,5.19,5.31,9.61,36.9
11-1044,Cake# cherry# homemade,5,14.4,66.5,398,22.8,40,7.9,4.2,20.7,6.9,Tr,,1.2,N,4.67,6.31,2.32,71.2
11-527,Cake# chocolate fudge,5.2,14.3,55.7,358,11.3,43.5,1.7,0.4,39.1,1.3,1,0,0.9,1.9,4.57,6.37,2.72,33
11-1046,Cake# chocolate# not filled# homemade,7.3,24.1,51.3,438,22.8,28.5,Tr,Tr,28.4,0,Tr,,1.8,N,8.28,10.5,3.68,97.1
11-1047,Cake# chocolate# with butter icing# homemade,5.8,25.2,53.8,452,18.2,35.7,Tr,Tr,35.5,0,0,0.1,1.4,N,10.43,9.87,3.12,92.7
11-830,Cake# chocolate# with filling and icing# retail,4.5,23.7,48.6,413,12,36.6,1.4,Tr,33.2,Tr,2,0,1.8,2.9,9.46,9.49,3.23,55.2
11-1053,Cake# coconut# homemade,6.7,22.1,52.6,423,31.3,21.3,Tr,0.1,20.7,0,0.5,,2.6,N,10.44,7.41,2.73,62.2
11-829,Cake# fruit# retail,4.5,12.1,55.2,334,15.6,39.6,10.5,11.9,14,3.2,Tr,0,2.4,3,4.64,4.72,1.88,43.1
11-1005,Cake# fruit# rich# homemade,4,11.1,61.5,349,11.8,49.6,17.3,15.4,13.7,3.1,0.1,0.4,1.5,N,6.48,2.9,0.54,66.1
11-991,Cake# fruit# rich# iced# homemade,3.7,9.6,67,355,8.1,58.9,12.9,11,32.4,2.6,0.1,0.2,1.3,N,4.53,3.26,0.88,44.5
11-1072,Cake# fruit# wholemeal# homemade,5.8,14.1,52.4,366,23.2,29.2,5.6,5.3,17.2,0.4,0.4,,2.4,N,4.59,6.09,2.33,45.9
11-1090,Cake# lardy# homemade,6.7,15.7,53.7,369,43.8,10,Tr,Tr,7.7,0.1,1.7,,1.8,2.3,6.44,6.52,1.59,15.5
11-833,Cake# loaf# retail,3.3,11,56.2,323,22.7,33.5,10.2,6.8,13.6,2.9,Tr,0,1.5,1.4,3.16,5.07,2.05,7.8
11-957,Cake# sponge# fatless# homemade,9.9,5.6,53.9,292,23.3,30.6,Tr,Tr,30.6,0,0,0,1,1.2,1.59,2.06,0.9,203
11-956,Cake# sponge# homemade,6.4,26.4,53.1,463,22.8,30.3,Tr,Tr,30.1,0,0.2,0,0.9,1.1,15.69,7.01,1.34,160.7
11-832,Cake# sponge# soft iced# retail,4.8,15.8,55,368,16,39,Tr,Tr,35.5,3.5,Tr,0,1.9,1.3,6.21,5.6,3.07,36
11-1118,Cake# sponge# with butter icing# homemade,4.5,27.3,56.2,476,16.2,40,Tr,Tr,39.8,0,0.2,0.2,0.6,0.8,16.57,7.15,1.24,135.4
11-532,Cake# sponge# with dairy cream and jam# frozen,4.3,10.9,43.9,280,18.6,24.3,3,0.7,18.1,1.6,0.9,0,Tr,2.7,N,N,N,58.6
11-831,Cake# sponge# with jam and butter cream# retail,3.7,14.8,55.1,354,17.5,37.6,3.5,1,28.2,4.9,Tr,,1.4,1.2,6.96,4.85,1.52,76
11-1125,Cake# Swiss roll# homemade,7.4,4.2,58.4,286,16.2,42.2,6.6,3.6,30,2,0,,0.7,0.8,1.18,1.53,0.67,151.1
11-834,Cake# Swiss rolls# chocolate covered and filled# retail,4.5,22.7,51,414,9.8,41.2,4.1,Tr,33.8,3.4,Tr,0,1.7,3.1,11.68,7.53,1.79,43.8
11-840,Cakes from healthy eating ranges,3.3,2.5,58.8,257,11.4,47.4,2.8,1.7,41.9,1,Tr,0,1.7,2.6,1.22,0.72,0.45,19.4
11-990,Cakes# crispie# homemade,5.5,18,73.7,460,30.7,43,0.4,0.4,42.2,Tr,0.1,,2.1,N,10.64,5.73,0.74,3.8
11-839,Cakes# fancy iced# individual# retail,3.3,16.8,57.6,381,13.5,44.1,1.5,Tr,40.5,2.1,Tr,0,0.9,1.1,5.86,6.69,3.31,31.1
16-404,Calamari# coated in batter# baked,8.5,17.5,25.9,288,25.9,Tr,Tr,Tr,Tr,Tr,0,,0.4,1.9,2.07,4.67,9.76,85
15-706,Callaloo and cho cho# homemade,1.9,6.6,2.6,77,0.1,2.2,0.9,0.9,0.5,0,0,,1.6,N,2.84,2.26,1,10.8
15-707,Callaloo and okra# homemade,1.8,6.4,2.2,73,0.2,1.9,0.7,0.7,0.5,0,0,0,1.6,N,2.75,2.23,0.98,10.4
15-708,Cannelloni# spinach# homemade,5.2,6.9,15.4,140,13.3,2,0.1,0.1,0.1,0.1,1.7,,0.8,N,1.81,3.08,1.46,N
15-709,Cannelloni# vegetable# homemade,4.9,8.5,15.5,155,13.1,2.4,0.2,0.2,0.2,0.1,1.7,,0.7,N,2.87,3.52,1.48,N
17-649,Caramel bars and sweets# chocolate covered,4.2,23.6,70.2,493,Tr,56,4.7,Tr,39.6,4.2,7.5,0,0.3,0.7,13.78,7.52,1.08,12.6
13-808,Caraway seeds,19.8,14.6,N,N,N,N,N,N,N,0,0,,N,,0.6,7.1,3.3,0
19-558,Carbonnade of Beef# homemade,12.7,6.5,5.2,134,1.8,2.7,0.6,0.5,0.9,0.6,0,0.8,0.5,0.8,2.12,3.02,0.87,39
13-809,Cardamom# ground,10.8,6.7,N,N,N,N,N,N,N,0,0,,N,,N,N,N,0
16-172,Carp# raw,17.5,4.7,0,112,0,0,0,0,0,0,0,,0,,0.9,1.6,0.8,67
13-607,Carrot juice,0.5,0.1,5.7,24,Tr,5.7,1.3,0.9,3.5,0,0,0,N,0.6,Tr,Tr,Tr,0
13-497,Carrots# old# boiled in unsalted water,0.5,0.5,6,29,0.3,5.5,0.9,0.7,3.9,0,0,0,2.1,2.8,0.15,0.16,0.11,0
13-498,Carrots# old# microwaved,0.6,0.2,7.5,32,Tr,7.2,1.1,1.1,5,0,0,0,2.2,2.8,0.06,0.06,0.04,0
13-496,Carrots# old# raw,0.5,0.4,7.7,34,0.1,7.2,1.1,1.1,5,0,0,0,2.1,3.9,0.1,0.11,0.08,0
13-449,Carrots# young# boiled in unsalted water,0.6,0.4,4.4,22,0.2,4.2,1.3,1.1,1.8,0,0,0,2.3,N,0.1,Tr,0.2,0
13-565,Carrots# young# canned in water# re-heated# drained,0.5,0.3,4.2,20,0.4,3.7,0.8,0.7,2.2,0,0,0,1.9,2.6,0.1,Tr,0.2,0
13-448,Carrots# young# raw,0.7,0.5,6,30,0.2,5.6,1.7,1.5,2.4,0,0,0,2.4,N,0.1,Tr,0.3,0
14-060,Cashew fruit# flesh only,0.9,0.4,6.8,33,Tr,6.8,N,N,N,0,0,,N,,N,N,N,0
14-811,Cashew nuts# kernel only# plain,17.7,48.2,18.1,573,13.5,4.6,0,0,4.6,0,0,,3.2,,9.5,27.8,8.8,0
14-812,Cashew nuts# kernel only# roasted and salted,20.5,50.9,18.8,611,13.2,5.6,0,0,5.6,0,0,0,3.2,4.3,10.1,29.4,9.1,0
13-209,Cassava# baked,0.7,0.2,40.1,155,38.5,1.6,0.2,0.1,1.1,0.1,0,,1.7,,0.1,0.1,Tr,0
13-210,Cassava# boiled in unsalted water,0.5,0.2,33.5,130,32.1,1.4,0.2,0.1,1,0.1,0,,1.4,,0.1,0.1,Tr,0
13-212,Cassava# frozen# raw,0.6,0.2,36.3,140,35.3,1,0.1,0.1,0.7,0.1,0,,1.6,,0.1,0.1,Tr,0
13-208,Cassava# raw,0.6,0.2,36.8,142,35.3,1.5,0.2,0.1,1.1,0.1,0,,1.6,,0.1,0.1,Tr,0
13-211,Cassava# steamed,0.6,0.2,36.8,142,35.3,1.5,0.2,0.1,1.1,0.1,0,,1.6,,0.1,0.1,Tr,0
15-712,Casserole# bean and mixed vegetable# homemade,2.7,0.7,6.6,42,2.8,3.4,0.8,0.8,1.8,Tr,0,,1.9,N,0.11,0.12,0.3,0
15-713,Casserole# bean and root vegetable# homemade,3,0.6,8.4,48,4.8,3.2,1.2,1.1,0.9,Tr,0,0,1.8,N,0.08,0.1,0.27,0
19-470,Casserole# beef# made with cook-in sauce,15,6.6,4.8,137,2,2.7,0.8,0.9,0.9,0,0,Tr,0.7,0.7,2.75,2.86,0.55,43.5
19-612,Casserole# pork and apple# homemade,11,2.9,7.5,100,2.9,4.3,1,2.2,1,0.1,0,0.3,0.5,0.5,0.66,1.21,0.62,28.5
19-536,Casserole# pork# made with cook-in sauce,17,7.9,4,154,1.7,2.3,0.7,0.8,0.7,0,0,Tr,0.5,0.7,2.68,3.17,1.49,49.9
19-623,Casserole# rabbit# homemade,11.4,4.8,2.2,97,1.1,1.1,0.3,0.3,0.5,0,0,0,0.3,0.6,1.37,1.57,1.27,27.5
19-484,Casserole# sausage# homemade,11.9,10.9,5.2,165,2.9,2,0.6,0.3,0.9,0.3,Tr,0,1.1,1.6,3.65,4.47,2.07,40
15-714,Casserole# sweet potato and green banana# homemade,1.2,6.5,31.2,181,5.7,24.6,N,N,N,N,0,,1.6,N,4.09,,0.29,16.4
15-638,Casserole# vegetable# homemade,2.1,0.4,10.6,52,5.3,5.1,1.6,1.4,2.1,Tr,0,0,1.9,2.4,0.07,0.09,0.18,0
16-008,Catfish# flesh only# steamed,21.4,3.7,0,119,0,0,0,0,0,0,0,,0,,0.5,1.1,1.1,61
16-009,Catfish# flesh only# steamed# weighed with bones,18.2,3.1,0,101,0,0,0,0,0,0,0,,0,,0.4,0.9,0.9,52
16-007,Catfish# raw,17.6,2.8,0,96,0,0,0,0,0,0,0,,0,,0.4,0.8,0.8,46
15-639,Cauliflower cheese# made with semi-skimmed milk# homemade,5.3,5.9,6.2,97,2.1,3.2,0.8,0.9,0.3,0,1.2,0,1.3,1.3,3.05,1.86,0.55,11.2
15-710,Cauliflower cheese# made with skimmed milk# homemade,5.3,5.6,6.2,94,2.1,3.2,0.8,0.9,0.3,0,1.2,,1.3,1.3,2.81,1.78,0.55,10.6
15-711,Cauliflower cheese# made with whole milk# homemade,5.3,6.4,6.1,102,2.1,3.1,0.8,0.9,0.3,0,1.1,,1.3,1.3,3.36,2.01,0.58,12.7
15-637,Cauliflower cheese# retail,4.2,5.8,5,88,3.1,1.9,0.6,0.5,0.1,Tr,0.7,,N,1.6,N,N,N,N
15-715,Cauliflower in white sauce# made with semi-skimmed milk# homemade,2.7,3.2,6,63,2,3.3,0.6,0.7,0.3,0,1.7,,1.2,1.4,1.8,0.73,0.41,7.3
15-716,Cauliflower in white sauce# made with skimmed milk# homemade,2.8,2.8,6,58,2,3.3,0.6,0.7,0.3,0,1.7,,1.2,1.4,1.46,0.6,0.4,6.5
15-717,Cauliflower in white sauce# made with whole milk# homemade,2.7,4.2,6.2,72,2.2,3.2,0.6,0.7,0.3,0,1.6,,1.2,1.4,2.38,0.98,0.5,10
15-718,Cauliflower with onions and chilli pepper# homemade,1.8,3.4,4.6,55,Tr,3.3,1.2,1.2,0.9,0,0,0,1.7,2,0.34,1.63,1.19,0
13-513,Cauliflower# boiled in unsalted water,1.9,0.9,3.5,29,Tr,2.4,0.9,1,0.5,0,0,0,1.6,1.9,0.2,0.1,0.5,0
13-512,Cauliflower# raw,2.5,0.4,4.4,30,0.2,2.9,1.2,1.3,0.4,0,0,0,1.8,1.8,0.09,0.04,0.22,0
16-272,Caviare# bottled in brine# drained,10.9,5.4,0,92,0,0,0,0,0,0,0,,0,,0.8,1.2,1.8,285
13-585,Celeriac# boiled in unsalted water,0.9,0.5,1.9,15,0.4,1.5,0.2,0.3,1,0,0,0,3.2,N,N,N,N,0
13-219,Celeriac# raw,1.2,0.4,2.3,18,0.5,1.8,0.3,0.4,1.2,0,0,,3.7,,N,N,N,0
13-810,Celery seeds,18.1,25.3,N,N,N,N,N,N,N,0,0,,N,,2.2,15.9,3.7,0
13-637,Celery# boiled in unsalted water,0.3,0.1,0.8,5,Tr,0.8,0.6,0.2,Tr,0,0,0,0.6,0.8,Tr,0.02,0.04,0
13-636,Celery# raw,0.5,0.1,1.4,9,Tr,1.4,1,0.4,Tr,0,0,0,1.1,1.5,Tr,0.03,0.07,0
11-819,Cereal bars# with fruit and/or nuts# no chocolate# unfortified,5.6,10.7,62.9,354,28.6,34.3,9.9,9,9.5,4.8,1.2,0,3.7,6.2,3.85,4.45,1.87,5.9
11-818,Cereal bars# with fruit and/or nuts# with chocolate# unfortified,6,18.3,66,436,25.3,40.7,6.4,6.5,25.9,Tr,1.9,0,3,5.1,8.43,7.21,1.72,11.3
11-987,Chapatis# made with fat# retail,8.1,12.8,48.3,328,46.5,1.8,N,N,N,N,0,0,N,N,N,N,N,N
11-459,Chapatis# made without fat,7.3,1,43.7,202,42.1,1.6,N,N,N,N,0,0,N,,0.1,0.1,0.4,0
13-224,Chard# Swiss# boiled in unsalted water,1.9,0.1,3.2,20,2.8,0.4,0.2,0.2,Tr,0,0,,N,,Tr,Tr,Tr,0
13-223,Chard# Swiss# raw,1.8,0.2,2.9,19,2.3,0.6,0.4,0.2,Tr,0,0,,N,,Tr,Tr,0.1,0
11-997,Cheese and onion rolls# pastry# retail,8.2,20,30.4,327,24.2,3,0.4,0.3,0.4,1.4,0.6,0,1.2,2.9,8.97,7.1,2.24,25.7
12-561,Cheese pudding# homemade,10.6,9.3,11.7,170,8.6,3.1,N,N,N,N,2.8,,0.3,N,4.95,2.65,0.52,100.6
17-665,Cheese sauce# made with semi-skimmed milk# homemade,8.2,12.8,9,182,4.8,4.2,Tr,Tr,0,0,4.1,0,0.2,0.7,8.01,3.33,0.38,35.5
17-773,Cheese sauce# made with skimmed milk# homemade,8.2,11.6,9.1,172,4.9,4.3,Tr,Tr,0,0,4.2,0,0.2,0.2,7.23,3.04,0.39,33.7
17-775,Cheese sauce# made with whole milk# homemade,8.2,14.6,8.9,197,4.9,4.1,Tr,Tr,0,0,4,0,0.2,0.2,9.12,3.83,0.46,41
17-666,Cheese sauce# packet mix# made up with semi-skimmed milk# homemade,5.8,5.2,9.7,106,4.5,5.3,Tr,Tr,0,Tr,5.2,,N,0.2,3.26,N,N,N
17-780,Cheese sauce# packet mix# made up with skimmed milk# homemade,5.6,2.4,9.2,79,3.9,5.3,Tr,Tr,0,Tr,5.3,,N,,N,N,N,N
17-781,Cheese sauce# packet mix# made up with whole milk# homemade,5.5,5.7,9,108,3.9,5.1,Tr,Tr,0,Tr,5.1,,N,,N,N,N,N
12-540,Cheese spread# plain,11.3,18.6,6.5,237,0,6.5,0,0,0,0,6.5,0,0,0,12.91,4.76,0.66,54.7
12-537,Cheese spread# plain# reduced fat,15,7.2,7.9,154,0.6,7.3,0,0,0,0,7.3,0,0,0,4.56,1.68,0.24,N
11-824,Cheese straws/twists# retail,14.1,30.3,48.3,510,46.6,1.6,Tr,Tr,Tr,1.6,Tr,0,2.4,2.5,17.54,7.67,1.71,71.4
12-491,Cheese# Brie# rind only,16.5,26.4,,304,,,,,,,,,,,,,,
12-344,Cheese# Brie# with outer rind removed,20.3,29.1,Tr,343,0,Tr,0,0,0,0,Tr,0,0,0,18.2,6.7,0.6,93
12-132,Cheese# Caerphilly,23.2,31.3,0.1,375,0,0.1,0,0,0,0,0.1,,0,,19.6,9.1,0.9,90
12-345,Cheese# Camembert,21.5,22.7,Tr,290,0,Tr,0,0,0,0,Tr,0,0,0,14.2,6.61,0.67,71.8
12-548,Cheese# Cheddar type# 30% less fat,27.9,22.1,0.8,314,0.7,0.1,0,0,0,0,0.1,0,0,0,13.8,6.5,0.6,60
12-348,Cheese# Cheddar type# half fat,32.7,15.8,Tr,273,0,Tr,0,0,0,0,Tr,0,0,0,9.9,4.63,0.42,43
12-346,Cheese# Cheddar# English,25.4,34.9,0.1,416,0,0.1,0,0,0,0,0.1,0,0,0,21.68,9.43,1.1,97
12-539,Cheese# cottage# plain,9.4,6,3.1,103,0,3.1,0,0,0,0,3.1,0,0,0,3.24,1.72,0.21,22
12-550,Cheese# cottage# plain# reduced fat,10.6,1.5,3.3,68,0,3.3,0,0,0,0,3.3,0,0,0,0.96,0.43,Tr,5
12-354,Cheese# Danish blue,20.5,28.9,Tr,342,0,Tr,0,0,0,0,Tr,0,0,0,19.13,7.54,0.95,75
12-152,Cheese# Derby,24.2,33.9,0.1,402,0,0.1,0,0,0,0,0.1,,0,,21.2,9.8,1,100
12-494,Cheese# Dolcelatte# rind removed,18,35.8,Tr,394,0,Tr,0,0,0,0,Tr,0,0,0,22.23,9.73,1.61,110
12-487,Cheese# Double Gloucester,24.4,35,0.1,413,0,0.1,0,0,0,0,0.1,,0,0,21.93,10.19,1.03,100
12-355,Cheese# Edam,26.7,26,Tr,341,0,Tr,0,0,0,0,Tr,0,0,0,15.8,5.2,0.4,71
12-493,Cheese# Emmental,30.2,30.9,Tr,399,0,Tr,0,0,0,0,Tr,0,0,0,20.59,7.62,1.38,97
12-525,Cheese# Feta,15.6,20.2,1.5,250,0,1.5,0,0,0,0,1.4,0,0,0,13.7,4.1,0.6,70
12-357,Cheese# goats milk# full fat# soft# white rind,21.1,25.8,1,320,0,1,0,0,0,0,0.9,0,0,0,17.91,6.09,1.04,93
12-358,Cheese# Gouda,25.3,30.6,Tr,377,0,Tr,0,0,0,0,Tr,0,0,0,20.33,7.43,0.94,85
12-164,Cheese# Gruyere,27.2,33.3,Tr,409,0,Tr,0,0,0,0,Tr,,0,,20.8,9.7,1,100
12-496,Cheese# Halloumi,23.9,23.5,1.7,313,0,1.7,0,0,0,0,1.5,0,0,0,16.58,5.69,1.06,63
12-604,Cheese# hard# average,24.9,34.5,0.1,411,0,0.1,0,0,0,0,0.1,0,0,0,21.57,9.81,1.04,99
12-488,Cheese# Lancashire,24.1,31.7,0.1,382,0,0.1,0,0,0,0,0.1,0,0,0,21.04,9.18,1.4,93
12-490,Cheese# Mascarpone,4.6,44.5,4.3,435,0,4.3,0,0,0,0,4.3,0,0,0,29.48,11.74,1.9,123
12-360,Cheese# Mozzarella# fresh,18.6,20.3,Tr,257,0,Tr,0,0,0,0,Tr,0,0,0,13.75,5.04,0.76,58
12-495,Cheese# Paneer,26,24.5,0.9,328,0,0.9,0,0,0,0,0.9,0,0,0,15.43,7.07,1.12,N
12-526,Cheese# Parmesan# fresh,36.2,29.7,0.9,415,0,0.9,0,0,0,0,0.9,0,0,0,19.25,7.67,1.12,93
12-492,Cheese# Port Salut# St Paulin type,25.5,25.7,Tr,333,0,Tr,0,0,0,0,Tr,0,0,0,18.06,6.59,1.02,84
12-527,Cheese# processed# plain,17.8,23,5,297,0,5,0,0,0,0,5,0,0,0,14.32,6.34,0.83,85
12-549,Cheese# processed# slices# reduced fat,16.7,9.6,9.7,190,2.1,7.6,0,0,0,0,7.6,0,0,0,5.85,2.59,0.32,35
12-173,Cheese# processed# smoked,20.5,24.5,0.2,303,0,0.2,0,0,0,0,0.2,,0,,15.1,7,1.1,80
12-174,Cheese# Quark,14.6,Tr,4,74,0,4,0,0,0,0,4,,0,,Tr,Tr,Tr,1
12-485,Cheese# Red Leicester,25,33.6,0.1,403,0,0.1,0,0,0,0,0.1,,0,0,21.1,9.8,1,100
12-175,Cheese# Red Windsor,24.4,33.7,Tr,401,0,Tr,0,0,0,0,Tr,,0,,21.1,9.8,1,100
12-176,Cheese# Ricotta,9.4,11,2,144,Tr,2,0,0,0,0,2,,0,,6.9,2.7,0.5,50
12-177,Cheese# Roquefort,19.7,32.9,Tr,375,0,Tr,0,0,0,0,Tr,,0,,20.7,8,1.5,90
12-178,Cheese# Sage Derby,24.2,33.9,0.1,402,0,0.1,0,0,0,0,0.1,,0,,21.2,9.8,1,100
12-551,Cheese# spreadable# full fat# soft# white,5.3,24.4,3,252,0,3,0,0,0,0,3,0,0,0,15.97,6.06,0.77,72
12-538,Cheese# spreadable# medium fat# soft# white,9.8,11.2,3.5,153,0,3.5,0,0,0,0,3.5,0,0,0,7.35,2.75,0.34,33
12-541,Cheese# spreadable# soft white# low fat,11.9,3.6,5,99,0,5,0,0,0,0,5,0,0,0,2.4,0.9,0.1,10.6
12-367,Cheese# Stilton# blue,23.7,35,0.1,410,0,0.1,0,0,0,0,0.1,0,0,0,23.02,9.16,1.22,95
12-181,Cheese# Stilton# white,19.9,31.3,0.1,362,0,0.1,0,0,0,0,0.1,,0,,19.6,9.1,0.9,90
12-489,Cheese# Wensleydale,23.7,31.8,0.1,381,0,0.1,0,0,0,0,0.1,,0,0,19.7,9.1,0.9,90
12-486,Cheese# White Cheshire,23.4,31.8,0.1,380,0,0.1,0,0,0,0,0.1,0,0,0,21.23,8.74,1.38,90
12-368,Cheese# white# average,23.7,31.8,0.1,381,0,0.1,0,0,0,0,0.1,0,0,0,21.1,7.85,0.7,90
12-395,Cheesecake# fruit# frozen,4,16.2,35.2,294,10,25,1.8,1.6,19.4,0.9,1.3,0,0.8,1,9.44,5,0.79,92
12-542,Cheesecake# fruit# individual,6.1,12.3,34.5,264,9.1,25.4,2.3,2,18.1,0.4,2.6,0,1,1.6,7.54,3.49,0.51,14.7
12-562,Cheesecake# homemade,6.2,22.8,25.4,325,10,15.5,0,0.1,13.8,Tr,1.6,,0.4,0.6,13.18,6.65,1.14,86.1
11-1043,Chelsea buns# homemade,7.8,12.5,57.8,361,36.9,21,4.4,4.3,11.2,Tr,1,,1.7,1.6,4.08,5.45,2.07,31
14-382,Cherries# flesh and skin# raw,1.2,0.4,14.6,63,0,14.6,8.6,6,Tr,Tr,0,0,0.9,1.9,0.08,0.09,0.1,0
14-383,Cherries# flesh and skin# raw# weighed with stones,1.1,0.4,13.4,58,0,13.4,7.9,5.5,Tr,Tr,0,0,0.8,1.7,0.07,0.09,Tr,0
14-335,Cherries# glace,0.4,Tr,78.1,294,Tr,N,N,N,N,N,0,0,0.9,N,Tr,Tr,Tr,0
14-063,Cherries# stewed with sugar,0.7,0.1,21,82,0,21,5.2,4.8,10.9,0,0,,0.7,,Tr,Tr,Tr,0
14-064,Cherries# stewed with sugar# weighed with stones,0.6,0.1,18.1,71,0,18.1,4.5,4.1,9.4,0,0,,0.6,,Tr,Tr,Tr,0
14-065,Cherries# stewed without sugar,0.8,0.1,10.1,42,0,10.1,5.2,4.7,0.2,0,0,,0.8,,Tr,Tr,Tr,0
14-066,Cherries# stewed without sugar# weighed with stones,0.6,0.1,8.6,36,0,8.6,4.4,4,0.1,0,0,,0.7,,Tr,Tr,Tr,0
14-069,Cherries# West Indian# flesh only,0.4,0.4,5,24,0,5,N,N,N,0,0,,N,,N,N,N,0
13-811,Chervil# dried,23.2,3.9,37.8,237,Tr,N,N,N,N,0,0,,N,,N,N,N,0
14-815,Chestnuts# dried,3.7,5.1,69,319,55.8,13.2,Tr,Tr,13.2,0,0,,7.7,,0.9,1.9,2.1,0
14-813,Chestnuts# kernel only# raw,2,2.7,36.6,170,29.6,7,Tr,Tr,7,0,0,0,4.1,N,0.5,1,1.1,0
14-814,Chestnuts# kernel only# raw# weighed with shells,1.6,2.2,30.4,140,24.6,5.8,Tr,Tr,5.8,0,0,,3.4,,0.4,0.8,0.9,0
17-782,Chevda/chevra/chewra# homemade,18.6,31.8,35.5,487,31.6,N,N,N,N,N,0,,4.2,N,4.71,16.03,9.21,0
18-504,Chicken breast/steak# coated# baked,17.7,11.6,15.8,234,14.6,1.1,0.3,Tr,0.3,0.6,Tr,,1.1,0.8,1.78,6.33,2.9,48.2
19-560,Chicken chasseur# homemade,13.5,1.5,2.3,78,1.2,1.1,0.3,0.3,0.5,0,0,2.3,0.3,0.2,0.25,0.78,0.38,37.6
19-663,Chicken chasseur# homemade# weighed with bone,12,1.3,2,69,1.1,1,0.3,0.3,0.4,0,0,2,0.3,0.2,0.22,0.69,0.34,33.5
19-561,Chicken fricassee# homemade,10,6.1,2.8,115,1.2,1.5,0.5,0.5,0.3,0,0.2,1.4,0.5,N,2.4,2.44,0.85,40.6
